event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
usc000lvld,2014-01-02T13:19:32Z,3.1,reviewed,"5 km ESE of Orlando, Oklahoma",-97.3227,36.1226,5,1185,1,-117974.187130051,1453288.27882456,0,134372,-37968028
usc000lvrp,2014-01-02T17:20:26.850Z,3.2,reviewed,"11 km SSE of Glencoe, Oklahoma",-96.895,36.127,4.4,1187,1,-79823.5483890972,1453335.91685591,0,148826.849999905,-37953573.1500001
usc000lwqc,2014-01-04T05:27:24.900Z,3,reviewed,"4 km ESE of Jones, Oklahoma",-97.234,35.557,5.1,1056,1,-110885.630280935,1389857.56152657,0,278844.900000095,-37823555.0999999
usc000lwxy,2014-01-04T20:35:30.100Z,3.5,reviewed,"8 km SE of Burlington, Oklahoma",-98.3576,36.8398,2.988,1352,0,-208271.285148034,1535390.12720556,0,333330.099999905,-37769069.9000001
usc000lwzb,2014-01-04T21:26:17Z,3.2,reviewed,"6 km SSE of Tryon, Oklahoma",-96.94,35.819,5,1101,0,-84178.0398845345,1418886.34560599,0,336377,-37766023
usc000lx1g,2014-01-04T23:33:32Z,3.7,reviewed,"5 km ESE of Orlando, Oklahoma",-97.322,36.129,5,1185,1,-117901.786392194,1454004.09561057,0,344012,-37758388
usc000lymp,2014-01-08T12:37:42.900Z,2.5,reviewed,"7 km ENE of Stillwater, Oklahoma",-96.9764,36.1352,5,1186,1,-87073.7978133745,1454325.6953721,0,650262.900000096,-37452137.0999999
usc000lz7a,2014-01-09T03:26:53.060Z,3.8,reviewed,"8 km SSE of Sparks, Oklahoma",-96.773,35.5421,3.21,1058,1,-69475.5246047529,1387752.24044052,0,703613.059999943,-37398786.9400001
usc000lz9l,2014-01-09T09:15:03.040Z,2.8,reviewed,"6 km ESE of Orlando, Oklahoma",-97.3134,36.1321,5,1185,1,-117130.051467319,1454340.60696662,0,724503.039999962,-37377896.96
usc000lzuf,2014-01-09T20:01:54.210Z,2.8,reviewed,"6 km NW of Meridian, Oklahoma",-97.287,35.888,5,1142,1,-115146.003386613,1426975.69737664,0,763314.210000038,-37339085.79
usc000lzpy,2014-01-09T23:07:37.170Z,3,reviewed,"6 km SSE of Tryon, Oklahoma",-96.9338,35.8184,2.66,1101,0,-83623.5010618308,1418813.69464357,0,774457.170000076,-37327942.8299999
usb000m4m4,2014-01-10T07:36:51.900Z,2.6,reviewed,"6 km E of Agra, Oklahoma",-96.8044,35.89,4.01,1144,1,-71967.9337894388,1426724.52735483,0,805011.900000095,-37297388.0999999
usb000m4md,2014-01-10T08:30:52Z,2.6,reviewed,"8 km SE of Sparks, Oklahoma",-96.747,35.563,5,1058,1,-67120.3611533203,1390073.09113046,0,808252,-37294148
usc000m0v1,2014-01-11T07:38:18.820Z,2.7,reviewed,"6 km ESE of Cherokee, Oklahoma",-98.289,36.736,5,1310,1,-202492.409443818,1523615.83754857,0,891498.819999933,-37210901.1800001
usc000m283,2014-01-13T17:40:21.580Z,3.1,reviewed,"2 km ESE of Reno, Texas",-97.5529,32.9391,5,410,0,-144320.979798006,1097676.90758373,0,1100421.57999992,-37001978.4200001
usb000m14t,2014-01-14T16:59:42.990Z,2.8,reviewed,"4 km NNE of Morrison, Oklahoma",-96.995,36.332,5,1229,1,-88501.6819470833,1476383.513755,0,1184382.99000001,-36918017.01
usc000myxb,2014-01-15T23:57:27Z,2.6,reviewed,"7 km SE of Luther, Oklahoma",-97.1491,35.6091,2.702,1057,1,-103186.491606385,1395593.86805474,0,1295847,-36806553
usc000mz0c,2014-01-17T09:15:17.840Z,2.8,reviewed,"10 km SSE of Glencoe, Oklahoma",-96.89,36.138,5,1187,1,-79366.0828304479,1454563.60299286,0,1415717.83999991,-36686682.1600001
usb000m4kr,2014-01-19T09:03:47.160Z,2.7,reviewed,"3 km SW of Alva, Oklahoma",-98.7,36.786,5,1351,0,-238682.64001245,1530169.72639196,0,1587827.16000009,-36514572.8399999
usb000m4ke,2014-01-19T18:40:18.050Z,2.6,reviewed,"5 km E of Stillwater, Oklahoma",-97.0002,36.1197,5,1186,1,-89214.4359810311,1452611.97120285,0,1622418.04999995,-36479981.95
usb000m6k7,2014-01-22T17:28:46.100Z,2.8,reviewed,"2 km ESE of Stillwater, Oklahoma",-97.0301,36.1022,3.622,1186,1,-91902.5544781001,1450680.71883239,0,1877326.0999999,-36225073.9000001
usb000m7xv,2014-01-25T01:01:09.660Z,2.6,reviewed,"3 km NNW of Perkins, Oklahoma",-97.055,36.001,4.9,1143,1,-94249.7809641574,1439372.69722012,0,2077269.66000009,-36025130.3399999
