event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
us10001nex,2015-03-18T09:40:25.400Z,2.8,reviewed,"3 km SSE of Meridian, Oklahoma",-97.2357,35.811,5.827,1099,1,-110668.63498205,1418293.80292156,1,38137225.4000001,34825.4000000954
us10001qza,2015-03-18T18:13:34.500Z,3,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0299,36.7794,6.489,1354,1,-179471.43479764,1527956.24980331,1,38168014.5,65614.5
us10001nle,2015-03-18T19:07:24.600Z,2.9,reviewed,"6 km SSW of Deer Creek, Oklahoma",-97.5563,36.753,8.035,1356,0,-137651.346178709,1524208.80976218,1,38171244.5999999,68844.5999999046
us10001nlh,2015-03-18T19:18:37.500Z,2.7,reviewed,"7 km N of Hunter, Oklahoma",-97.655,36.6312,6.209,1312,1,-146617.914001159,1510712.87138332,1,38171917.5,69517.5
us10001nm1,2015-03-18T21:51:59.700Z,2.6,reviewed,"3 km NE of Renfrow, Oklahoma",-97.6278,36.9421,4.94,1399,0,-143611.872417371,1545498.590834,1,38181119.7000001,78719.7000000477
us10001nv5,2015-03-19T01:15:47.400Z,2.8,reviewed,"1 km NE of Red Rock, Oklahoma",-97.1655,36.4712,6.69,1272,1,-103475.120222331,1492146.97025366,1,38193347.4000001,90947.4000000954
us10001nzz,2015-03-19T01:25:50.040Z,2.6,reviewed,"4 km SE of Bluff City, Kansas",-97.8378,37.044,5,1398,0,-161916.055182299,1557252.02926095,1,38193950.04,91550.0399999619
us10001nvg,2015-03-19T03:36:05.600Z,2.5,reviewed,"6 km S of Guthrie, Oklahoma",-97.4179,35.8164,5.652,1098,1,-126976.216414864,1419126.17586401,1,38201765.5999999,99365.5999999046
us10001nus,2015-03-19T06:35:13.900Z,2.7,reviewed,"7 km N of Hunter, Oklahoma",-97.6551,36.6325,5.513,1312,1,-146624.23590708,1510858.64048643,1,38212513.9000001,110113.900000095
us10001nrq,2015-03-19T08:57:05.800Z,2.8,reviewed,"5 km W of Pond Creek, Oklahoma",-97.8656,36.6605,6.605,1311,1,-165208.458954842,1514340.28167925,1,38221025.8,118625.799999952
us10001nup,2015-03-19T10:38:22.900Z,2.5,reviewed,"3 km SSW of Perry, Oklahoma",-97.3063,36.2624,5.53,1228,1,-116296.317401004,1468923.89561737,1,38227102.9000001,124702.900000095
us10001nu5,2015-03-19T11:14:08.800Z,2.8,reviewed,"7 km WNW of Perkins, Oklahoma",-97.1049,36.0101,4.755,1143,1,-98695.6176074968,1440442.33572667,1,38229248.8,126848.799999952
us10001nuf,2015-03-19T14:48:32.100Z,3.1,reviewed,"6 km NE of Hunter, Oklahoma",-97.6077,36.6029,6.114,1313,0,-142481.602292204,1507471.01567743,1,38242112.0999999,139712.099999905
us10001nx2,2015-03-19T18:06:30.200Z,2.6,reviewed,"6 km S of Guthrie, Oklahoma",-97.4393,35.8186,4.329,1098,1,-128888.759791376,1419401.28475022,1,38253990.2000001,151590.200000048
us10001p8u,2015-03-19T20:14:11.400Z,2.6,reviewed,"22 km SE of Waynoka, Oklahoma",-98.6976,36.4363,5,1265,0,-239582.425028816,1491003.66416179,1,38261651.4000001,159251.400000095
us10001p0l,2015-03-19T20:54:15.100Z,2.6,reviewed,"6 km SSW of Alva, Oklahoma",-98.7007,36.7577,5,1351,0,-238834.596711524,1527002.12495131,1,38264055.0999999,161655.099999905
us10001p1g,2015-03-19T21:42:22.300Z,2.6,reviewed,"9 km NNW of Arcadia, Oklahoma",-97.3789,35.743,3.768,1099,1,-123603.163612776,1410857.4858196,1,38266942.3,164542.299999952
us10001p12,2015-03-19T22:30:44.100Z,2.7,reviewed,"9 km NNW of Arcadia, Oklahoma",-97.3794,35.7412,4.621,1099,1,-123650.90502666,1410656.62819072,1,38269844.0999999,167444.099999905
us10001p5u,2015-03-20T08:19:39.900Z,2.7,reviewed,"12 km SSE of Waynoka, Oklahoma",-98.8304,36.4781,5,1264,0,-251233.975114148,1496026.93375572,1,38305179.9000001,202779.900000095
us10001p46,2015-03-20T09:00:40.300Z,3.2,reviewed,"6 km ENE of Hunter, Oklahoma",-97.597,36.58,5.656,1313,0,-141576.518245929,1504889.99682604,1,38307640.3,205240.299999952
us10001p66,2015-03-20T14:13:04.200Z,2.7,reviewed,"9 km WSW of Carmen, Oklahoma",-98.5577,36.546,5.454,1265,0,-226829.85357827,1502944.18469137,1,38326384.2000001,223984.200000048
us10001pbe,2015-03-20T21:10:02.800Z,2.7,reviewed,"13 km ESE of Orlando, Oklahoma",-97.2316,36.1139,4.597,1185,1,-109861.899263552,1452204.82990447,1,38351402.8,249002.799999952
us10001pbv,2015-03-21T02:10:28.300Z,2.5,reviewed,"10 km NNW of Arcadia, Oklahoma",-97.3905,35.7456,4.29,1099,1,-124638.642547192,1411163.70382056,1,38369428.3,267028.299999952
us10001pu8,2015-03-21T02:58:50.900Z,2.8,reviewed,"7 km N of Hunter, Oklahoma",-97.6528,36.6319,6.314,1312,1,-146421.669924284,1510787.88746179,1,38372330.9000001,269930.900000095
us10001pug,2015-03-21T05:16:01.300Z,2.5,reviewed,"7 km E of Nash, Oklahoma",-97.968,36.6602,5.591,1311,1,-174275.938108945,1514489.5797892,1,38380561.3,278161.299999952
us10001pcq,2015-03-21T07:45:30.800Z,2.9,reviewed,"10 km NW of Arcadia, Oklahoma",-97.39,35.7439,5.108,1099,1,-124596.611630595,1410972.73490892,1,38389530.8,287130.799999952
us10001pv1,2015-03-21T09:02:51.800Z,2.7,reviewed,"3 km NE of Renfrow, Oklahoma",-97.6293,36.9452,7.049,1399,0,-143738.241492355,1545848.15065649,1,38394171.8,291771.799999952
us10001pnb,2015-03-21T09:29:28.270Z,2.5,reviewed,"5 km NNE of Anthony, Kansas",-98.0041,37.1958,5,1440,0,-176206.849335193,1574554.31729987,1,38395768.27,293368.269999981
us10001pd7,2015-03-21T10:08:51.600Z,3.6,reviewed,"9 km NW of Morrison, Oklahoma",-97.0884,36.3506,5,1229,1,-96785.0694121163,1478557.80811604,1,38398131.5999999,295731.599999905
us10001pds,2015-03-21T10:58:45.600Z,3.2,reviewed,"7 km ENE of Carmen, Oklahoma",-98.3812,36.6065,5.97,1309,0,-211010.529791053,1509312.81656805,1,38401125.5999999,298725.599999905
us10001pwl,2015-03-21T13:00:00.500Z,2.5,reviewed,"3 km NE of Renfrow, Oklahoma",-97.6306,36.9447,6.853,1399,0,-143853.878564597,1545794.1028364,1,38408400.5,306000.5
