event_id,time_utc,mag,status,place,lon,lat,depth_km
usc000lvld,2014-01-02T13:19:32Z,3.1,reviewed,"5 km ESE of Orlando, Oklahoma",-97.3227,36.1226,5
usc000lvrp,2014-01-02T17:20:26.850Z,3.2,reviewed,"11 km SSE of Glencoe, Oklahoma",-96.895,36.127,4.4
usc000lwqc,2014-01-04T05:27:24.900Z,3,reviewed,"4 km ESE of Jones, Oklahoma",-97.234,35.557,5.1
usc000lwxy,2014-01-04T20:35:30.100Z,3.5,reviewed,"8 km SE of Burlington, Oklahoma",-98.3576,36.8398,2.988
usc000lwzb,2014-01-04T21:26:17Z,3.2,reviewed,"6 km SSE of Tryon, Oklahoma",-96.94,35.819,5
usc000lx1g,2014-01-04T23:33:32Z,3.7,reviewed,"5 km ESE of Orlando, Oklahoma",-97.322,36.129,5
usc000lymp,2014-01-08T12:37:42.900Z,2.5,reviewed,"7 km ENE of Stillwater, Oklahoma",-96.9764,36.1352,5
usc000lz7a,2014-01-09T03:26:53.060Z,3.8,reviewed,"8 km SSE of Sparks, Oklahoma",-96.773,35.5421,3.21
usc000lz9l,2014-01-09T09:15:03.040Z,2.8,reviewed,"6 km ESE of Orlando, Oklahoma",-97.3134,36.1321,5
usc000lzuf,2014-01-09T20:01:54.210Z,2.8,reviewed,"6 km NW of Meridian, Oklahoma",-97.287,35.888,5
usc000lzpy,2014-01-09T23:07:37.170Z,3,reviewed,"6 km SSE of Tryon, Oklahoma",-96.9338,35.8184,2.66
usb000m4m4,2014-01-10T07:36:51.900Z,2.6,reviewed,"6 km E of Agra, Oklahoma",-96.8044,35.89,4.01
usb000m4md,2014-01-10T08:30:52Z,2.6,reviewed,"8 km SE of Sparks, Oklahoma",-96.747,35.563,5
usc000m0v1,2014-01-11T07:38:18.820Z,2.7,reviewed,"6 km ESE of Cherokee, Oklahoma",-98.289,36.736,5
usc000m283,2014-01-13T17:40:21.580Z,3.1,reviewed,"2 km ESE of Reno, Texas",-97.5529,32.9391,5
usb000m14t,2014-01-14T16:59:42.990Z,2.8,reviewed,"4 km NNE of Morrison, Oklahoma",-96.995,36.332,5
usc000myxb,2014-01-15T23:57:27Z,2.6,reviewed,"7 km SE of Luther, Oklahoma",-97.1491,35.6091,2.702
usc000mz0c,2014-01-17T09:15:17.840Z,2.8,reviewed,"10 km SSE of Glencoe, Oklahoma",-96.89,36.138,5
usb000m4kr,2014-01-19T09:03:47.160Z,2.7,reviewed,"3 km SW of Alva, Oklahoma",-98.7,36.786,5
usb000m4ke,2014-01-19T18:40:18.050Z,2.6,reviewed,"5 km E of Stillwater, Oklahoma",-97.0002,36.1197,5
usb000m4u7,2014-01-20T15:04:38.050Z,2.7,reviewed,"23 km NNE of Snyder, Texas",-100.8535,32.9209,3.15
usb000m6k7,2014-01-22T17:28:46.100Z,2.8,reviewed,"2 km ESE of Stillwater, Oklahoma",-97.0301,36.1022,3.622
usb000m7xv,2014-01-25T01:01:09.660Z,2.6,reviewed,"3 km NNW of Perkins, Oklahoma",-97.055,36.001,4.9
usb000m8ar,2014-01-26T06:38:18.200Z,3.1,reviewed,"4 km WNW of Lamar, Oklahoma",-96.1792,35.1097,2.54
usc000mcnp,2014-01-26T23:10:31.340Z,2.6,reviewed,"8 km SSW of Glencoe, Oklahoma",-96.9717,36.1658,5
usb000m8p0,2014-01-27T05:37:29.240Z,2.8,reviewed,"6 km E of Orlando, Oklahoma",-97.307,36.138,4.31
usb000m9f4,2014-01-28T01:17:38.980Z,2.9,reviewed,"18 km NNE of Snyder, Texas",-100.8535,32.88,3.78
usb000m9jx,2014-01-28T09:52:29.850Z,2.9,reviewed,"5 km ESE of Calumet, Oklahoma",-98.07,35.578,16.5
usc000mc7l,2014-01-28T15:05:01.590Z,3,reviewed,"8 km NE of Lake Aluma, Oklahoma",-97.389,35.6,5.5
usc000mcpa,2014-01-28T17:54:44.300Z,2.5,reviewed,"3 km NNW of Pelican Bay, Texas",-97.5339,32.9453,5
usc000mcpn,2014-01-29T02:07:14.740Z,3,reviewed,"6 km NNW of Agra, Oklahoma",-96.9111,35.9446,5
usc000mcld,2014-01-29T02:24:06.740Z,3.2,reviewed,"6 km NNW of Agra, Oklahoma",-96.908,35.943,5
usc000mdes,2014-01-30T04:50:30.580Z,3.2,reviewed,"6 km NW of Agra, Oklahoma",-96.9153,35.947,5.77
usc000n5tf,2014-01-31T11:30:46.500Z,2.7,reviewed,"4 km NE of Coyle, Oklahoma",-97.196,35.983,3.7
usc000mejv,2014-01-31T15:52:56.570Z,3.1,reviewed,"2 km WSW of Jet, Oklahoma",-98.2081,36.6532,8.82
usc000meqp,2014-01-31T17:59:12.340Z,2.9,reviewed,"2 km SW of Boley, Oklahoma",-96.504,35.474,5
usc000mf70,2014-02-01T09:08:02.300Z,3.6,reviewed,"6 km NNW of Agra, Oklahoma",-96.9074,35.9505,5
usc000mfbv,2014-02-01T18:12:42.900Z,2.5,reviewed,"7 km N of Spencer, Oklahoma",-97.3788,35.5925,5
usc000mnz8,2014-02-02T12:06:28.510Z,2.7,reviewed,"5 km NE of Hillsdale, Oklahoma",-97.9548,36.5978,5
usc000mh8f,2014-02-02T16:37:32.990Z,2.6,reviewed,"13 km NNW of Perry, Oklahoma",-97.343,36.398,5
usc000mfzp,2014-02-03T08:43:30.810Z,2.9,reviewed,"7 km NNE of Bluff City, Kansas",-97.8334,37.133,5
